PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    308998:   97.2432%:        308998:   97.2432%
#Load-Misses:                    8760:    2.7568%:          8760:    2.7568%
#Load-Accesses:                317758:  100.0000%:        317758:  100.0000%
#
#Store-Hits:                   133765:   98.4370%:        133765:   98.4370%
#Store-Misses:                   2124:    1.5630%:          2124:    1.5630%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442763:   97.6008%:        442763:   97.6008%
#Total-Misses:                  10884:    2.3992%:         10884:    2.3992%
#Total-Accesses:               453647:  100.0000%:        453647:  100.0000%

#Load-SttRam:                  203574:   64.0657%
#Store-Sttram:                  39845:   29.3217%
#Load-Sram:                    114184:   35.9343%
#Store-Sram:                    96044:   70.6783%


#Stack-Swap:                    14203:   85.9070%:         14203:   85.9070%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2330:   14.0930%:          2330:   14.0930%
#Total-Swap:                    16533:  100.0000%:         16533:  100.0000%

#Stack-Migration:               14532:   80.4384%:         14532:   80.4384%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3534:   19.5616%:          3534:   19.5616%
#Total-Migrate:                 18066:  100.0000%:         18066:  100.0000%

#Stack-WriteBack:                 289:   12.3346%:           289:   12.3346%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2054:   87.6654%:          2054:   87.6654%
#Total-WriteBack:                2343:  100.0000%:          2343:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
       201321907:            3822:            2457:             931:            6277:               2
       201321908:            2128:            1594:             592:            3718:               4
       201321909:            1599:            1450:             407:            3024:              25
       201321910:            2663:            1347:             937:            4004:               6
       201321911:            1128:            1047:             565:            2170:               5
       201321912:            2934:             947:             594:            3874:               7
       201321913:            2682:            1710:            1125:            4379:              13
       201321914:            2585:            1953:            1011:            4534:               4
       201321915:            4450:             998:             598:            5444:               4
       201321916:             555:             509:             207:            1058:               6
       201321917:             614:             510:             315:            1120:               4
       201321918:            2977:            5618:             248:            8593:               2
       201321919:            2876:            1387:             495:            4260:               3
       201321920:           10209:            1087:             718:           11293:               3
       201321921:            6434:            6466:             620:           12897:               3
       201321922:             370:             322:              96:             688:               4
       201321923:             630:             601:              68:            1229:               2
       201321924:            1218:             459:             343:            1675:               2
       201321925:            1173:             976:             387:            2147:               2
       201321926:            3459:             691:             540:            4147:               3
       201321927:            1790:            1057:             620:            2845:               2
       201321928:            1232:             509:             168:            1740:               1
       201321929:            1647:            1178:             502:            2823:               2
       201321930:             552:             512:              75:            1062:               2
       201321931:            2068:             622:             188:            2687:               3
       201321932:             656:             322:             220:             974:               4
       201321933:             560:             310:             256:             868:               2
       201321934:             400:             286:             203:             685:               1
       201321935:             485:             247:             198:             729:               3
       201321936:              39:              42:               5:              80:               1
       201321937:              70:              24:              11:              93:               1
       201321938:              23:              16:              10:              37:               2
       201321939:              23:              30:              12:              51:               2
       201321940:              34:              21:               8:              54:               1
       201321941:              54:              44:              17:              95:               3
       201321942:              29:              24:              21:              50:               3
       201321943:             191:              34:              26:             222:               3
       201321944:              34:              36:              17:              67:               3
       201321945:              29:              28:              17:              55:               2
       201321946:              48:              46:              35:              93:               1
       201321947:              58:              40:              31:              96:               2
       201321948:              26:              41:              14:              66:               1
       201321949:              34:              29:              30:              61:               2
       201321950:              19:              19:              10:              36:               2
       201321951:              41:              44:               5:              84:               1
       201321952:              22:              30:              21:              49:               3
       201321953:              16:              16:              10:              30:               2
       201321954:              34:              23:              15:              55:               2
       201321955:              15:              11:               8:              23:               3
       201321956:              39:              21:              18:              58:               2
       201321957:              15:              13:               9:              25:               3
       201321958:              21:               1:               4:              18:               4
       201321959:             132:               0:               2:             130:               2
       201321960:             176:               0:               2:             174:               2
       201321961:             176:               0:               4:             172:               4
       201321962:             176:               0:               4:             172:               4
       201321963:             176:               0:               3:             173:               3
       201321964:             176:               0:               3:             173:               3
       201321965:             164:               0:               2:             162:               2
       201321966:             128:               0:               3:             125:               3
       201321967:             128:               0:               2:             126:               2
       201321968:             128:               0:               3:             125:               3
       201321969:             128:               0:               3:             125:               3
       201321970:              66:               0:               2:              64:               2
       201321971:               4:               0:               1:               3:               1
       201321972:               4:               0:               1:               3:               1
       201321973:               3:               0:               1:               2:               1
       201321974:               3:               0:               1:               2:               1
       201321975:               3:               0:               1:               2:               1
       201321976:               2:               0:               1:               1:               1
       201321977:               2:               0:               1:               1:               1
       201321978:               4:               0:               1:               3:               1
       201321979:               3:               0:               1:               2:               1
       201321980:               4:               0:               1:               3:               1
       201321981:              66:               0:               1:              65:               1
       201322252:              11:               0:               3:               8:               3
       201322253:               1:               0:               1:               0:               1
       201322255:              43:               0:               4:              39:               4
       201322257:              43:               0:               5:              38:               5
       201322258:              43:               0:               4:              39:               4
       201322309:              43:               0:               5:              38:               5
       201322310:              43:               0:               4:              39:               4
